batch_id,course_id,trainer_id,batch_code,mode,slot,start_date,end_date,capacity
1,3,4,B2025001,Offline,Weekday Morning,2025-01-05,2025-03-16,50
2,5,5,B2024002,Hybrid,Weekday Evening,2024-04-19,2024-05-31,30
3,4,39,B2024003,Offline,Weekday Morning,2024-09-05,2024-11-14,60
4,4,50,B2024004,Hybrid,Weekend Morning,2024-08-09,2024-10-04,50
5,9,29,B2024005,Online,Weekday Morning,2024-04-17,2024-05-15,40
6,1,22,B2024006,Hybrid,Weekend Morning,2024-03-22,2024-05-17,30
7,8,44,B2025007,Offline,Weekend Evening,2025-01-02,2025-02-13,60
8,3,35,B2023008,Hybrid,Weekday Morning,2023-12-25,2024-02-19,50
9,7,17,B2024009,Online,Weekend Morning,2024-12-30,2025-03-10,50
10,6,54,B2025010,Offline,Weekend Morning,2025-04-28,2025-06-09,60
11,9,10,B2025011,Hybrid,Weekday Morning,2025-07-27,2025-10-05,50
12,10,35,B2024012,Online,Weekday Morning,2024-10-24,2024-12-05,60
13,8,8,B2025013,Online,Weekday Morning,2025-10-26,2026-01-04,30
14,7,44,B2024014,Offline,Weekday Evening,2024-03-03,2024-04-14,60
15,7,54,B2024015,Online,Weekend Evening,2024-07-31,2024-09-11,50
16,9,54,B2024016,Online,Weekday Evening,2024-09-20,2024-11-01,50
17,1,16,B2024017,Hybrid,Weekday Evening,2024-07-20,2024-08-31,50
18,3,32,B2024018,Offline,Weekend Evening,2024-10-18,2024-11-15,40
19,6,46,B2025019,Hybrid,Weekend Morning,2025-03-12,2025-04-23,40
20,6,7,B2025020,Online,Weekend Evening,2025-04-08,2025-06-03,50
21,5,22,B2024021,Online,Weekend Morning,2024-06-03,2024-07-15,40
22,2,55,B2024022,Offline,Weekend Evening,2024-10-06,2024-12-15,60
23,6,3,B2024023,Online,Weekday Morning,2024-02-27,2024-03-26,40
24,10,58,B2024024,Offline,Weekend Evening,2024-02-04,2024-03-17,30
25,6,42,B2023025,Online,Weekday Morning,2023-12-27,2024-02-21,50
26,3,24,B2024026,Offline,Weekday Evening,2024-11-30,2025-01-25,30
27,6,36,B2025027,Online,Weekend Evening,2025-06-23,2025-07-21,40
28,6,51,B2025028,Offline,Weekday Evening,2025-08-04,2025-10-13,30
29,5,45,B2024029,Online,Weekday Morning,2024-02-10,2024-03-09,60
30,6,46,B2024030,Online,Weekend Evening,2024-04-22,2024-05-20,50
31,1,50,B2025031,Offline,Weekend Morning,2025-11-04,2025-12-02,60
32,1,1,B2024032,Offline,Weekday Evening,2024-07-12,2024-08-23,40
33,6,36,B2025033,Online,Weekday Morning,2025-01-27,2025-02-24,60
34,8,9,B2024034,Offline,Weekend Evening,2024-01-19,2024-03-29,40
35,9,29,B2024035,Offline,Weekday Morning,2024-02-03,2024-03-16,40
36,10,30,B2025036,Online,Weekday Evening,2025-07-01,2025-08-26,50
37,9,57,B2024037,Offline,Weekday Morning,2024-10-19,2024-12-14,60
38,8,18,B2025038,Online,Weekday Evening,2025-03-28,2025-05-09,60
39,10,28,B2024039,Online,Weekend Evening,2024-01-21,2024-03-31,30
40,2,36,B2025040,Hybrid,Weekday Evening,2025-06-16,2025-07-28,60
41,7,30,B2024041,Hybrid,Weekday Evening,2024-06-13,2024-07-25,60
42,5,39,B2025042,Offline,Weekday Morning,2025-06-07,2025-07-19,40
43,7,30,B2025043,Hybrid,Weekend Morning,2025-09-17,2025-11-12,30
44,5,59,B2024044,Online,Weekend Morning,2024-06-11,2024-08-06,40
45,4,13,B2023045,Online,Weekday Morning,2023-12-07,2024-01-18,60
46,2,39,B2023046,Offline,Weekend Morning,2023-12-24,2024-03-03,40
47,4,30,B2023047,Online,Weekend Evening,2023-12-13,2024-02-07,50
48,1,11,B2025048,Online,Weekday Evening,2025-05-18,2025-07-27,40
49,6,58,B2024049,Hybrid,Weekend Morning,2024-02-10,2024-03-09,50
50,1,50,B2024050,Offline,Weekday Evening,2024-12-19,2025-01-30,60
51,9,7,B2025051,Online,Weekend Evening,2025-02-03,2025-04-14,60
52,3,22,B2025052,Hybrid,Weekday Evening,2025-08-03,2025-09-14,50
53,9,49,B2024053,Hybrid,Weekend Morning,2024-03-21,2024-04-18,50
54,9,16,B2024054,Online,Weekday Evening,2024-01-21,2024-02-18,40
55,10,44,B2024055,Online,Weekday Morning,2024-11-11,2025-01-06,60
56,5,51,B2024056,Offline,Weekday Evening,2024-11-25,2025-02-03,40
57,9,20,B2024057,Online,Weekend Morning,2024-12-06,2025-02-14,30
58,7,31,B2024058,Online,Weekend Morning,2024-10-28,2025-01-06,50
59,8,59,B2025059,Offline,Weekend Morning,2025-07-20,2025-08-31,50
60,3,16,B2024060,Hybrid,Weekend Morning,2024-08-29,2024-10-10,30
61,5,55,B2024061,Online,Weekend Evening,2024-02-03,2024-03-16,30
62,7,52,B2025062,Online,Weekday Morning,2025-01-16,2025-02-27,60
63,3,14,B2024063,Hybrid,Weekend Evening,2024-03-19,2024-04-16,30
64,9,33,B2024064,Hybrid,Weekday Evening,2024-02-17,2024-04-27,50
65,1,8,B2024065,Offline,Weekday Morning,2024-01-17,2024-02-28,30
66,4,59,B2024066,Offline,Weekday Morning,2024-01-13,2024-03-23,60
67,1,59,B2024067,Online,Weekend Evening,2024-07-11,2024-09-19,30
68,5,35,B2025068,Hybrid,Weekend Morning,2025-08-10,2025-09-07,40
69,1,15,B2025069,Offline,Weekend Evening,2025-03-22,2025-05-31,60
70,10,11,B2023070,Online,Weekend Evening,2023-11-21,2024-01-16,30
71,4,36,B2024071,Online,Weekday Evening,2024-11-07,2024-12-05,60
72,6,1,B2025072,Offline,Weekday Evening,2025-01-31,2025-04-11,50
73,9,58,B2025073,Online,Weekend Morning,2025-03-01,2025-04-26,30
74,10,28,B2024074,Online,Weekday Morning,2024-02-13,2024-03-26,60
75,3,57,B2024075,Hybrid,Weekday Morning,2024-11-01,2024-12-13,60
76,6,13,B2024076,Hybrid,Weekday Morning,2024-11-04,2024-12-30,60
77,2,3,B2025077,Hybrid,Weekend Morning,2025-02-05,2025-03-19,30
78,9,24,B2024078,Hybrid,Weekend Morning,2024-11-28,2025-01-09,50
79,7,13,B2025079,Hybrid,Weekend Morning,2025-02-22,2025-04-19,50
80,6,31,B2024080,Hybrid,Weekday Morning,2024-10-11,2024-12-20,50
81,8,17,B2025081,Online,Weekend Morning,2025-10-09,2025-11-06,30
